"170908.0097.wav| 이응, 시옷"
170908.0098.wav|인성
170908.0099.wav|아사
170908.0100.wav|믿죠
170908.0101.wav| 아... 저... 적당히 해야지
170908.0102.wav| 난센스 한 번 더 하면
"170908.0103.wav|맞네, 우리 땅이네"
170908.0104.wav| 이거 앞으로 나가지지가 않냐
"170908.0105.wav| 이거 맞힐 수 있어, 진짜"
170908.0106.wav| 모로코의 수도는?
"170908.0107.wav| 하나, 둘, 셋!"
170908.0108.wav|모르겠다
170908.0109.wav| 모나코!
170908.0110.wav| 모로코의 수도는 라바트입니다
170908.0111.wav|거기 이름이 라바트입니다
170908.0112.wav|갈게요
"170908.0113.wav| 블랙, 화이트"
"170908.0114.wav|하나, 둘, 셋!"
170908.0115.wav|블랙!
170908.0116.wav| 오케이!
170908.0117.wav|무인도만 걸리지 말자
170908.0118.wav| 공공칠
170908.0119.wav|빵!
"170908.0120.wav|안 했어, 안 했어"
"170908.0121.wav| 말 안 했어, 말 안 했어"
"170908.0122.wav|담 왔어, 담 왔어?"
"170908.0123.wav| 목이 갑자기 아팠어, 목이 아팠어"
170908.0124.wav|공공칠빵!
170908.0125.wav|솔직히
170908.0126.wav| 제이홉 진짜 웃겼는데
170908.0127.wav|공공칠!
170908.0128.wav|빵! 으악!
170908.0129.wav| 이렇게 하는 게임이구나
"170908.0130.wav|수도냐, 설마?"
"170908.0131.wav| 다른 거 해볼게요, 다른 거 해볼게요"
"170908.0132.wav|하나, 둘, 셋"
"170908.0133.wav|찌읒, 미음"
"170908.0134.wav| 찌읒, 미음"
"170908.0135.wav|찌읒이 뭐야, 찌읒"
"170908.0136.wav|하나, 둘, 셋!"
"170908.0137.wav| 지읒, 시옷"
170908.0138.wav|죄송
170908.0139.wav|잠수
"170908.0140.wav|조장 조장, 조사..."
170908.0141.wav| 실패!
"170908.0142.wav|하나, 둘, 셋!"
170908.0143.wav| 만보기
170908.0144.wav|제가 한번 가겠습니다
"170908.0145.wav| 오케이, 이거는 못 먹고 가는 거구나"
170908.0146.wav| 허리요? 그럼 어떻게 해요?
"170908.0147.wav| 형, 허리에 하지 말고 발로 하는 게..."
170908.0148.wav| 남준이 귀에 차자
170908.0149.wav| 여기 비니에 차서 이렇게 해요
"170908.0150.wav| 허리에 해, 허리"
"170908.0151.wav| 좋아, 좋아 비니..."
170908.0152.wav| 이럴 거면 다리에 하지 그랬냐
170908.0153.wav| 그래! 남준아 내가 말한 게 그거야!
"170908.0154.wav|남준아, 내가 말한 게 그거야! 남준아!"
170908.0155.wav| 머리 안 아프냐?
"170908.0156.wav|내가 말한 게 그거야, 남준아!"
170908.0157.wav|75개 나오면 진짜...
170908.0158.wav| 57개
"170908.0159.wav|가혹하다, 진짜 이거"
170908.0160.wav| 야 우리 근데 이거 하나 실화인가?
"170908.0161.wav|네, 맞습니다 첫판을 이기시면 됩니다"
"170908.0162.wav|자, 다시 자리 바꾸자"
"170908.0163.wav|왜 안 해요, 형? 왜 안 해요?"
170908.0164.wav|왜 안 죽어요?
170908.0165.wav| 죽지 않는 사나이란 말이야
"170908.0166.wav| 태형아, 잘할 수 있어!"
170908.0167.wav|등이 긴장된 게 보여
170908.0168.wav| 오열
"170908.0169.wav| 진짜 자비 없다, 쟤"
"170908.0170.wav|하나, 둘, 셋을 하면 팀원 모두가"
"170908.0171.wav|하나, 둘, 셋!"
170908.0172.wav|남준이 하트 맞아?
170908.0173.wav|사진 보세요
170908.0174.wav|저건 사각형이지~! 어떻게 저게 하트야
"170908.0175.wav| 이렇게 했어, 이렇게"
170908.0176.wav| 감독님 판별
170908.0177.wav| 오케이
170908.0178.wav| 한 바퀴 돌기 힘들다
170908.0179.wav| 세렌디피티!
170908.0180.wav|우리 세 명 이렇게 하면 돼요
170908.0181.wav|일단 다 해요
"170908.0182.wav|하나, 둘, 셋!"
170908.0183.wav| 셋!
170908.0184.wav| 셋!
170908.0185.wav| 쉽다면서
"170908.0186.wav| 이거, 이렇게까지 마음이 잘 통한단 말이야?"
170908.0187.wav| 정말 감동적이네
170908.0188.wav|텔레파시였으면 잘했었어
170908.0189.wav|우리 너무 오래 살았다
"170908.0190.wav|형, 사랑해 내가 많이!"
"170908.0191.wav|하나, 둘, 셋!"
"170908.0192.wav| 텔레파시, 오케이, 오케이"
"170908.0193.wav| 콜라, 사이다"
170908.0194.wav|상대 팀을 이겨라
170908.0195.wav|공공칠빵만 아니면 돼
"170908.0196.wav|369, 369, 369, 369"
"170908.0197.wav| 73, 73"
170908.0198.wav|딜레이가 369에서요?
"170908.0199.wav| 리버브 모르나, 리버브"
170908.0200.wav|리버브가 사람한테 걸려?
"170908.0201.wav| 이거는 직업병이야, 어쩔 수 없어"
170908.0202.wav| 봤는데
170908.0203.wav|봤거든요
"170908.0204.wav|졌나요, 저희가?"
"170908.0205.wav| 73부터 갈게요, 준비, 시작!"
170908.0206.wav| 어 뭐야?
170908.0207.wav|어차피 지는 거였네!
170908.0208.wav|너무... 너무... 너무... 어이없게...
170908.0209.wav| 우리 정국이가 양심을 챙겼네
170908.0210.wav| 간식?
170908.0211.wav| 제한 시간 없습니다
170908.0212.wav|지금 바로 드시면 됩니다
170908.0213.wav|맛있게 먹으면 되는 거 같은데요?
"170908.0214.wav| 그때 그랬어, 이 팀이"
170908.0215.wav|너무 맛있다
170908.0216.wav|민초구나 영국에서 만들었다고 했죠?
170908.0217.wav|하나씩 다 드셔야 합니다
170908.0218.wav|나 이 닦고 있어 지금
170908.0219.wav| 이따 라면 먹고 이 안 닦을 거야!
170908.0220.wav|저 이 미리 닦을게요
170908.0221.wav| 저거는 다 드시면 되고요
170908.0222.wav|초콜릿은 하나씩
170908.0223.wav| 당 떨어질 일은 없겠네
"170908.0224.wav|형, 그거 왜 굳이 잘라서 드시는 거예요?"
"170908.0225.wav| 형, 그거 왜 굳이 잘라서 드시는 거예요?"
"170908.0226.wav| 아니, 두 개니까"
170908.0227.wav| 3등분
170908.0228.wav|가위바위보 진 사람이 다 먹기 하자
170908.0229.wav| 가위바위보! 가위바위보!
"170908.0230.wav| 포기할 수 있어요, 포기하면 다 안 먹는 거예요"
"170908.0231.wav|태형이 다 먹는대, 맛있대"
170908.0232.wav|엄청 달아?
170908.0233.wav| 슈가 형은 근데 워낙 음식을 잘 먹어서
170908.0234.wav|이거 다 씹고... 씹고 삼킬게
170908.0235.wav|포기하겠습니다 이러면 웃기겠다
"170908.0236.wav| 외쳐, 지금 머릿속에 있는 거 외쳐"
"170908.0237.wav|하지 마, 하지 마~"
170908.0238.wav|우리 차례인가?
170908.0239.wav|오케이 만보기 가겠습니다 제가 한번 해보겠습니다
170908.0240.wav| 만보기를 해서 뭐 가져 올래?
170908.0241.wav| 우리가 뺏어오기 힘들었던 거
170908.0242.wav|지민이 할 수 있어
170908.0243.wav|네가 하려고?
170908.0244.wav| 정국이가 해 정국이가
170908.0245.wav| 나는 편하지 뭐
"170908.0246.wav|준비, 시작!"
170908.0247.wav|공연도 있는데...
170908.0248.wav| 얘는 머신이야 뭐야
170908.0249.wav|총 쏘는 거 아니지?
170908.0250.wav| 기관총이야 진짜?
170908.0251.wav| 정국이 오늘 운동 안 해도 되겠는데?
"170908.0252.wav| 정국아 총 쏴라, 총 쏴라"
170908.0253.wav|적군이 살아있다
170908.0254.wav|적군이 아직 달려온다
170908.0255.wav| 아직이다 정국아
170908.0256.wav| 그만!
170908.0257.wav|오케이
170908.0258.wav| 73
170908.0259.wav| 또 만보기야?
170908.0260.wav| 이거 하면 안 돼?
170908.0261.wav|나 노래방에서 어렸을 때 진짜 많이 불렀는데
"170908.0262.wav| 아니, 아니"
"170908.0263.wav| 아니, 아니"
170908.0264.wav|넘겨
170908.0265.wav| 24개
170908.0266.wav|야 이거 잘 해야겠다
170908.0267.wav| 태형아 15개만 해
170908.0268.wav|그렇게 빨리?
"170908.0269.wav| 4, 3..."
170908.0270.wav|끝!
170908.0271.wav|40개
170908.0272.wav|'다짐' 해야지
170908.0273.wav|시작!
170908.0274.wav| 이렇게 빨리 한다고?
170908.0275.wav| 아니
170908.0276.wav|딱딱딱 이렇게 해야지
170908.0277.wav|10초잖아
170908.0278.wav| 10초잖아
170908.0279.wav|그렇구나
170908.0280.wav| 이거 어렵죠
170908.0281.wav|그렇지 그러니까 미션이지
"170908.0282.wav|2, 만보기"
170908.0283.wav| 우리 세 명 합시다
170908.0284.wav|할게요 준비 시작!
170908.0285.wav| 그러면 들 때도 조심히 들어야지
170908.0286.wav| 뭔가... 뭔가 좀...
170908.0287.wav| 52개인 줄 알았는데 25개
170908.0288.wav|25개? 15개만 더 하면 돼
170908.0289.wav| 뭐야 잠깐 올리는데 26개 됐어요
170908.0290.wav| 7개 됐어
170908.0291.wav| 어디 할 거야? 너 어디 할 거야?
170908.0292.wav| 무슨 와칸다 보물 만지는 것처럼 소중하게 만지고 있죠?
170908.0293.wav| 소리는 나야지
"170908.0294.wav|둘, 셋, 넷..."
170908.0295.wav|35라고?
170908.0296.wav| 빼는데~ 턱!
"170908.0297.wav| 아니야, 아니야, 아니야"
"170908.0298.wav|그냥 발 하자, 발 하자, 발 하자"
170908.0299.wav| 아니야 발 위험해 뺄 때...
170908.0300.wav| 발 약간 위험한데?
170908.0301.wav| 지금 이 형은 성공하는 것보다
170908.0302.wav|지금 몇 개야?
170908.0303.wav|하나 올라갔죠?
"170908.0304.wav| 형, 39, 39!"
170908.0305.wav|웃지 마! 넘어갔잖아!
170908.0306.wav| 넘어갔잖아!
170908.0307.wav|아니 이게 왜 예민하냐
170908.0308.wav| 아니 진짜 어이 없는 게 이걸 잡고 웃는데
170908.0309.wav|이러면서 넘어갔어
"170908.0310.wav|너무 예민해 얘, 너무 예민해"
170908.0311.wav| 'ㅂㅌ' 하나 둘 셋!
170908.0312.wav|아니 난 변태밖에 생각이 안 났어
170908.0313.wav| 나도 그래서...
170908.0314.wav|갑시다
170908.0315.wav| 0은 현실이 된다~
170908.0316.wav| 박수를 왜 쳐 인마!
170908.0317.wav|이런 게 쉽지 솔직히 훈민정음
170908.0318.wav|텔레파시 아니면 훈민정음
170908.0319.wav|먹었을 때 어려운 거
170908.0320.wav| 'ㅂㅌ' 하나 둘 셋!
"170908.0321.wav| 됐어, 됐어!"
170908.0322.wav|거의 기 모으는 느낌이었는데!
170908.0323.wav|갑니다!
170908.0324.wav| 3!
170908.0325.wav| 어떤 모양이 있는데 그거를 펜 안 떼고
170908.0326.wav|한 번에 그 모양을 그려야 되는 거!
170908.0327.wav|태형이 잘 하지 않냐 그거? 태형이가 할 거예요
170908.0328.wav|연습 1분 동안 해보실 수 있어요
170908.0329.wav| 쉬운데?
170908.0330.wav|너무 쉽죠
170908.0331.wav|너무 기회를 많이 주셨어
170908.0332.wav| 30초 지났어요
"170908.0333.wav|흰색 종이에다가, 흰색 종이에 그냥"
170908.0334.wav|이제 도전하시면 됩니다
170908.0335.wav| 가 쭉~
170908.0336.wav|이거 진짜 쉬워
"170908.0337.wav| 그렇지, 그렇지, 잘하네 그렇지"
170908.0338.wav| 태형아 안쪽부터 파고들어가라니까요
170908.0339.wav|태형 씨 안쪽부터 파고들어...
170908.0340.wav| 지금 맞히지 마 우리가 나올 수도 있어
170908.0341.wav|그럼 여기가 비잖아
"170908.0342.wav|1, 2, 3!"
"170908.0343.wav| 여기, 여기"
170908.0344.wav| 일단 한붓 그리기 도전할게요
170908.0345.wav|1분
170908.0346.wav| 이것도 할만 한데?
170908.0347.wav|이 점은 겹쳐도 돼
170908.0348.wav| 연습 시간 1분입니다
170908.0349.wav|이건 진짜 모르겠는데?
170908.0350.wav|봐봐
"170908.0351.wav| 이렇게 가면 되잖아, 이렇게"
170908.0352.wav|됐네! 끝!
170908.0353.wav|여기부터 이렇게 가서 이렇게
170908.0354.wav|틀렸다
170908.0355.wav|정국아 아니야
170908.0356.wav|이렇게 가서
170908.0357.wav|이렇게 하려 했는데 안 되더라고
170908.0358.wav|알겠어 가봐 가봐
"170908.0359.wav| 아직 안 끝났어, 아직 안 끝났어"
170908.0360.wav| 자! 다음 문제 바로 들어갈게요
170908.0361.wav|저도 잘 모르겠습니다
170908.0362.wav| 잠깐만 저거 뺏으려면 뭐 해야 되잖아
"170908.0363.wav| 네팔의 수도? 하나, 둘, 셋!"
170908.0364.wav|카트만두
170908.0365.wav| 끝!
170908.0366.wav|두 문제 맞히셔야 됩니다
170908.0367.wav|그래요? 일단 형 하고
170908.0368.wav|뷔 형 도전해!
170908.0369.wav|나 잘 모르는데...
170908.0370.wav|이거 쉽다
"170908.0371.wav|세 칸, BTS 찾기 뭐야"
170908.0372.wav| BTS 찾기?
170908.0373.wav|BTS 찾기가 뭐죠?
170908.0374.wav| 제자리 걸음~
170908.0375.wav| 제자리 걸음~
170908.0376.wav| 제자리 걸음~
170908.0377.wav| 내가 나한테 속은 거야?
170908.0378.wav|이렇게 쳐야 되는데 이렇게 쳤어
170908.0379.wav|한 방인데
170908.0380.wav| 바로...
"170908.0381.wav| 야, 우리 정말 팀이긴 한가 보다"
170908.0382.wav|절대 외롭게 안 해 서로를
170908.0383.wav|어디로 가는 거야 도대체
156139.0000.wav|안녕하세요
156139.0001.wav|안녕
156139.0002.wav|안녕하세요 여러분
156139.0003.wav|제가 또 왔습니다
156139.0004.wav|막 오시고 계시네요
156139.0005.wav|오늘은 평소보다 훨씬 빨리 들어오시는 것 같아요
156139.0006.wav|일요일이라서 그런가?
156139.0007.wav|안녕하세요
156139.0008.wav|저번 주에
156139.0009.wav|제가 여기 오기로 했으니까
156139.0010.wav|또 이렇게 여러분 뵈러 왔습니다
156139.0011.wav|반갑습니다
"156139.0012.wav|네, 저 저녁 먹고 왔고요"
156139.0013.wav|여러분들은 밥 먹고 오셨나요?
156139.0014.wav|지금...
156139.0015.wav|저녁 9시 12분이네요
"156139.0016.wav|뭐 드셨나요, 여러분?"
156139.0017.wav|오늘은?
156139.0018.wav|저희 콘서트 오는데 다이어트 하시는 거예요?
156139.0019.wav|저희 콘서트 하면 저희만 다이어트... 저희가 오히려 다이어트 해야 되지 않을까요?
156139.0020.wav|짜파게티 맛있죠
156139.0021.wav|고기도 너무 좋고
156139.0022.wav|카레도 맛있죠 전 밥 먹고 왔어요
156139.0023.wav|콩나물국 콩나물국도 진짜 맛있더라고
156139.0024.wav|제가 그...
156139.0025.wav|면허 시험 보러 갔을 때 저희 휴가 때
156139.0026.wav|면허 시험을 보고
156139.0027.wav|돌아오기 전에 이제...
156139.0028.wav|매니저 형이랑 같이 콩나물국밥을 먹었는데
156139.0029.wav|맛있데
156139.0030.wav|콩나물국밥이 진짜 맛있더라고요
156139.0031.wav|땡초 싹 넣어서
156139.0032.wav|저 안 피곤합니다
"156139.0033.wav|김치찌개 너무 좋아하죠, 제가 또"
156139.0034.wav|왕새우도 너무 맛있지
156139.0035.wav|족발
156139.0036.wav|해장국
156139.0037.wav|이 시간에? 맛있지
156139.0038.wav|다이어트를 많이 하고 계시네
156139.0039.wav|샐러드는 또 왜 먹고 계시고
156139.0040.wav|라면도 제가 좋아합니다
156139.0041.wav|치킨누들스프 먹고 있었어요?
156139.0042.wav|피자도... 내가 피자 먹어본 지 진짜 오래된 것 같다
156139.0043.wav|갈비 갈비도 먹은 지 진짜 오래된 것 같네
156139.0044.wav|마지막으로 갈비 먹은 거는 아버지가 저 보러
156139.0045.wav|서울 오셨을 때 갈비를 먹은 적이 있는데
156139.0046.wav|맛있데
156139.0047.wav|떡볶이 너무 좋죠
156139.0048.wav|제가 야식으로 떡볶이 먹는 거 되게 좋아해요
156139.0049.wav|그리고 제가 라면을 너무 좋아해요
156139.0050.wav|제가 라면을 잘 못 끓이는데
156139.0051.wav|하나는 진짜 잘 끓여요 자신할 수 있어요
156139.0052.wav|하나만 딱 끓일 수 있어
156139.0053.wav|물 양을 잘 몰라서
156139.0054.wav|하나 끓이는 건 잘해요
156139.0055.wav|라면 그...
156139.0056.wav|다 끓이고
156139.0057.wav|끓이고 있을 때 고춧가루 탈탈탈탈
156139.0058.wav|맛있데
156139.0059.wav|라면은 뭐
"156139.0060.wav|여러분, 그리고"
156139.0061.wav|그... 제가 저번 주에 그...
156139.0062.wav|귀나 뚫을까 그랬잖아요 그래서 여기
156139.0063.wav|귀엽게 이렇게 하나 또 뚫고 왔지
156139.0064.wav|이번 주.. 저번 주인가?
156139.0065.wav|이번 주인가?
156139.0066.wav|스케줄이 하루 일찍 끝나서
156139.0067.wav|매니저 형이랑 차에 딱 타 있는데
156139.0068.wav|형 저 귀나 뚫을까요?
156139.0069.wav|가시죠 이래서
156139.0070.wav|바로 가서 또 뚫고 왔어요
156139.0071.wav|이제 오른쪽이랑 왼쪽이랑 대칭이 맞아버렸네
156139.0072.wav|저보다 10살 많으신데 왜 이렇게 귀여워요
156139.0073.wav|더 귀여우실 거잖아요
156139.0074.wav|저 많이 안 피곤해요 오히려
156139.0075.wav|방금 조금 쉬다가 와서 피곤하고 그런 게 없어요
156139.0076.wav|되게 안 피곤해 보이지 않아요?
156139.0077.wav|뭔가
156139.0078.wav|딱 잠에서 깨어난 하루를 시작하는 기분?
156139.0079.wav|저 안 아팠는데요?
156139.0080.wav|아픈 적은 없어요
156139.0081.wav|녹색 니트 감사합니다
156139.0082.wav|이거 제가
156139.0083.wav|꺼낸 지 얼마 안 된 옷인데
156139.0084.wav|이렇게 또 오랜만에 입고 나왔다
156139.0085.wav|오랜만이란다
156139.0086.wav|이번에 처음 꺼낸 거구나
156139.0087.wav|옷이 편해서 입고 왔어요
156139.0088.wav|지금 주무셔야 되는 분들은 잘 자요
156139.0089.wav|무튼
156139.0090.wav|여러분들과 또 이렇게 보기로 약속을 했으니까
156139.0091.wav|오늘 이렇게 또 왔고
156139.0092.wav|이제 보니까
156139.0093.wav|진짜로 콘서트가 얼마 안 남았더라고
156139.0094.wav|이제 일주일도 안 남았잖아요
156139.0095.wav|많이들 기다리셨을 텐데
156139.0096.wav|그렇죠?
156139.0097.wav|멤버들이 엄청 기대하고 있어요
156139.0098.wav|오랜만에 또 한국에서 콘서트 한다고
156139.0099.wav|우리나라에서 콘서트 한다고 엄청 기대를 많이 하고 있어요 그래서
156139.0100.wav|요즘 이제 사우디에서 돌아오고 나서부터
156139.0101.wav|저희끼리 맨날 모여서 연습하고 있거든요
156139.0102.wav|준비 또 하고 있는데
156139.0103.wav|되게 재밌는 것 같아요 리허설 하는 것도 재밌고
156139.0104.wav|멤버들이 진짜 웃겨요
156139.0105.wav|안녕하세요
156139.0106.wav|그런데 진짜 오랜만이네? 저희가 이제 투어 시작을
156139.0107.wav|작년...
156139.0108.wav|작년 9월에 했죠?
156139.0109.wav|투어 시작을 9월에 하지 않았나?
156139.0110.wav|그랬었던 것 같아요
156139.0111.wav|되게 오랜만에 진짜 하게 돼서
156139.0112.wav|기대가 많이 돼요
156139.0113.wav|맞네 작년 맞는 것 같은데
156139.0114.wav|그렇죠?
156139.0115.wav|작년 맞죠?
156139.0116.wav|엄청... 이게
156139.0117.wav|휴가도 저희는 있었고 해서
156139.0118.wav|생각보다 되게 멀 줄 알았는데 빠르게 다가와서 되게 좋은 것 같아요
156139.0119.wav|또 그때 즐겁게 놀아야죠 기대를 진짜 많이 하고 있어요
156139.0120.wav|다음 주 토요일부터니까
156139.0121.wav|휴식을 좀 많이 취하고 오셨으면 좋겠습니다
156139.0122.wav|저희 콘서트는 같이 놀아야 해서 이게 쉬운 곳이 아니거든요
156139.0123.wav|그러니까 몸 열심히 푸시고
156139.0124.wav|전날에 푹 주무시고 오시길 바랍니다
156139.0125.wav|그리고
156139.0126.wav|제가 그때 사우디에서 넘어올 때
156139.0127.wav|생일이었잖아요
156139.0128.wav|그때 축하 너무 많이 해주셔서 감사하고
156139.0129.wav|찾아봤는데 진짜 뭐
156139.0130.wav|눈이 오고 그랬더라고요
156139.0131.wav|그것도 너무 감사했고 그것뿐만 아니라
156139.0132.wav|여러 군데에서 연락도 많이 받았고
156139.0133.wav|정말
156139.0134.wav|정말
156139.0135.wav|생각보다 별...
156139.0136.wav|크게
156139.0137.wav|생각을 많이 했던 날이 아니어서
156139.0138.wav|기대를 안 했다기보다 그냥 생각을 안 하고 있었던 것 같아요 그냥
156139.0139.wav|그런데 여러분들한테 그렇게
156139.0140.wav|축하를 많이 받게 될 줄 몰랐어서
156139.0141.wav|너무 행복했고
156139.0142.wav|그리고 여러분들 축하 이렇게 받으면서 한국 돌아와서
156139.0143.wav|집에 갔는데 부모님이 오셨었어요 그래서
156139.0144.wav|또 생일 축하해주시고 해서
156139.0145.wav|즐겁게 시간을 보냈었습니다
156139.0146.wav|그래서 그러고 이제 잠을 다음 날 너무 많이 자서 하루 쉬었는데
156139.0147.wav|잠을 너무 많이 자서 제가 또 너무 늦은 시간에
156139.0148.wav|뒤늦게 찾아왔네요
156139.0149.wav|다른 멤버들은
156139.0150.wav|아까까지 저랑 같이 연습을 했었고 개인 작업이나 뭐
"156139.0151.wav|각자 할 일을 하고 있는 것 같아요, 지금은"
156139.0152.wav|지금 우리나라는
156139.0153.wav|이제 막 쌀쌀해지고 있는 중인 것 같습니다
156139.0154.wav|너무 살 빠진 거 아니에요? 저 살 안 빠졌어요
156139.0155.wav|이거 방송 켜면
156139.0156.wav|참...
156139.0157.wav|되게 많은 곳에서
156139.0158.wav|저희를
156139.0159.wav|응원해주는 걸 또 이거를 한 번 더 느끼는 것 같아요 여기 보면
156139.0160.wav|여기 뭐 말레이시아에서 응원해요
156139.0161.wav|필리핀 오세요
156139.0162.wav|이런 글들이 많아서
156139.0163.wav|이란을 좋아한다고 말해
156139.0164.wav|여기 적히는 한국말들이 되게 귀여워요
156139.0165.wav|그래서 너무너무 고맙고
156139.0166.wav|요즘 기분이 어때요?
156139.0167.wav|요즘은
156139.0168.wav|글쎄요
156139.0169.wav|그냥
156139.0170.wav|너무 좋아요
156139.0171.wav|막
"156139.0172.wav|그렇게 무겁거나 나쁜 생각을 해본 적은 없는 것 같아요, 이 근래에"
156139.0173.wav|그냥
156139.0174.wav|조금 그냥
156139.0175.wav|여러 가지 저에 대한 생각도 좀 하고 있고
156139.0176.wav|그것보다도 지금이 너무 좋아서
156139.0177.wav|공연하고 멤버들이랑 또 콘서트 하고
156139.0178.wav|이런 것들도 너무 좋고
156139.0179.wav|또 옆에 있는 친구들도 너무 좋아요
156139.0180.wav|그래서 응원도 많이 받고 위로도 많이 받고
156139.0181.wav|저랑 시간도 많이 보내주고
156139.0182.wav|요즘에 너무 좋아요
156139.0183.wav|저 콘서트 3층 가요
156139.0184.wav|제가 3층에
"156139.0185.wav|잘 보자, 누구였죠?"
156139.0186.wav|방포아포
156139.0187.wav|제가 볼 수 있을지는 모르겠는데
156139.0188.wav|어떻게 한번 또 봐볼게요
"156139.0189.wav|그렇죠, 이게 뭐 3층이 또 되게 넓으니까"
156139.0190.wav|어디 있을지는 모르겠지만
156139.0191.wav|꼭 다 한 번씩 볼게요
"156139.0192.wav|러브 유, 러브 유"
156139.0193.wav|아이고 내일 아버님이 또 생일이라고
156139.0194.wav|내일 아버지가 생일이시라고 하네요
156139.0195.wav|유카 님의 아버님
156139.0196.wav|생신 축하드립니다
"156139.0197.wav|미얀마를 기억해요? 그럼요, 기억하죠"
156139.0198.wav|저희 옛날 막 행사로도 가고 그랬었는데
"156139.0199.wav|기억하죠, 너무"
"156139.0200.wav|빨리 공연하고 싶다, 그렇죠?"
156139.0201.wav|너무 기대된다
